Terrorist_Organization,Min_Year,Max_Year,Min_Month,Max_Month,Min_Day,Max_Day,Number_Of_Attacks,Number_Of_Deaths
Animal Rights Militia,1982,2010,3,12,12,30,3,0
Anti-Nuclear extremists,1982,2015,5,12,1,30,22,2
Druzes,1982,1989,2,12,1,23,4,0
Sunni Muslim extremists,1982,2013,1,12,1,31,39,169
United Jewish Underground,1982,1982,12,12,21,21,1,0
Militia Members,1982,2011,1,12,0,30,11,43
Hector Rio De Brigade,1983,1983,1,1,1,1,1,4
Jewish Terror,1983,1983,1,2,3,30,10,0
Corsican Revolutionary Brigade,1983,1983,1,1,4,4,1,0
Lebanese National Resistance Front,1983,1991,1,11,0,28,23,58
Civic Guard,1983,1983,1,1,15,15,1,1
Armed Struggle Organization,1983,1983,1,1,16,16,1,1
Grupo Armado de Liberacion Argentina (GALA),1983,1983,2,2,3,3,1,0
Martyrs of Saad Sayel,1983,1983,2,2,3,3,1,0
Autonomy Front,1983,1983,2,2,10,10,1,0
Posse Comitatus,1983,1983,2,2,13,13,1,2
Mon Insurgents,1983,1994,1,5,6,26,4,0
Scottish Nationalists,1983,1983,2,2,17,17,1,0
Hezbollah,1983,2018,1,12,0,31,391,1228
People's Revolutionary Organization- Colombia (ORP),1983,1984,3,9,7,28,2,3
All India Sikh Students Federation (AISSF),1983,1986,3,7,4,8,4,1
2 April Group,1983,1983,3,4,6,25,6,0
Nicaraguan Democratic Force (FDN),1983,1987,1,12,1,31,511,6662
Misurasata Indian Organization,1983,1986,1,11,1,30,21,270
Polish,1983,1983,4,4,8,9,2,0
Revolutionary Solidarity,1983,1990,2,4,10,19,4,1
Democratic Revolutionary Alliance (ARDE),1983,1991,1,12,0,30,99,1803
Red Brigades Fighting Communist Party (BR-PCC),1983,2003,2,10,2,20,7,4
Jordanian Revolutionary and Military Committee (MOUAB),1983,1983,5,5,9,9,2,0
Group for Martyred Isam as-Sartawi,1983,1983,5,5,17,17,2,0
Caribbean Revolutionary Alliance (ARC),1983,1985,1,11,3,28,10,1
Basque guerrillas,1983,1984,6,10,21,22,2,1
Northern Epirus Liberation Front (MAVI),1983,1983,6,6,24,24,1,0
Opposition Militants,1983,1996,4,10,3,26,6,7
Scottish National Liberation Army,1983,2002,2,12,1,28,7,0
"Senki (""Battle Flag"")",1983,1986,2,7,0,25,8,0
Revolutionary Front for National Liberation,1983,1983,7,7,12,21,5,0
Jamaat-al-Fuqra,1983,1990,1,8,1,30,5,1
Lebanese Resistance Group,1983,1983,8,8,5,5,1,3
"Covenant, Sword and the Arm of the Lord (CSA)",1983,1983,8,11,2,15,4,1
Anarchists,1983,2018,1,12,1,31,117,3
Angry Brigade,1983,2013,1,8,12,31,3,0
Movement for Rebuilding Fatah,1983,1983,8,8,20,20,1,1
Argentina Libre (Free Argentina),1983,1983,8,8,24,24,1,0
Iraqi Moslems,1983,1983,8,8,27,27,1,0
United Popular Action Movement,1983,1994,1,12,1,30,108,19
Morazanist Front for the Liberation of Honduras (FMLH),1983,1990,3,9,0,31,6,31
Amazonas Liberation Front,1983,1983,9,9,16,16,1,0
Lebanese and Palestinian Resistance Fighters,1983,1983,10,10,5,5,1,1
North Korean involvement commandos,1983,1983,10,10,9,9,1,21
Syrian Battle Front,1983,1983,10,10,26,26,1,0
Comite de Liberation et de Detournements d'Ordinateurs (Committee for the liberation and hijacking of computers),1983,1983,10,10,26,26,1,0
The Order (Silent Brotherhood),1983,1984,1,10,16,30,8,1
Bolivian Luminous Path,1983,1983,10,10,30,31,2,0
Anti-Immigrant extremists,1983,2017,2,11,1,28,13,29
The Aref Boluki Dynamite group,1983,1983,11,11,12,12,1,0
November 10 (Bolivia),1983,1983,11,11,14,14,1,0
Yamaguchi-Gumi Gang,1983,1983,11,11,18,18,1,0
Catholic Reaction Force,1983,2001,8,11,20,20,3,3
Sandinist People's Army (EPS),1983,1985,7,11,4,26,4,1
Anti-Terrorist Liberation Group (GAL),1983,1989,1,12,1,31,20,19
Plowshares,1983,1983,12,12,4,4,1,0
National Front for the Liberation of Belgium,1983,1983,12,12,12,12,1,1
Revolutionary Armed Forces (FAR),1983,1983,12,12,14,14,1,31
Guatemalan National Revolutionary Unity (URNG),1983,1996,1,12,0,31,130,115
Islamic Cause Organization,1983,1983,12,12,21,21,2,0
Black Hand,1983,1983,12,12,21,21,2,19
Counterrevolutionary Solidarity (SC),1983,1983,12,12,24,24,1,0
Muslim Militants,1983,2009,1,12,1,31,291,695
Israeli Terrorist Group,1984,1984,1,3,4,15,3,0
Ana Maria Martinly August 22 Brigade,1984,1984,1,1,20,20,1,1
Al-Borkan Liberation Organization,1984,1984,1,9,12,21,2,1
Martyrs of Baalbek,1984,1984,1,1,25,25,1,0
Tripura National Volunteers (TNV),1984,1988,1,12,1,30,28,154
Patriotic Command San Jose,1984,1984,2,2,2,2,1,0
Jammu and Kashmir Liberation Front,1984,1996,1,12,3,29,54,66
Naga People,1984,2009,1,12,2,30,16,145
Yellow Organization of Air Force Officers,1984,1984,2,2,8,8,3,0
Defenders of the Fatherland,1984,1984,2,2,10,10,1,0
Terror Against Terror,1984,1984,2,3,4,11,3,0
Christian extremists,1984,2015,1,10,8,17,7,304
National Resistance Movement (NRM),1984,1985,2,11,10,23,3,228
Jewish Direct Action,1984,1984,2,2,23,23,1,0
Force 17,1984,1987,2,11,2,27,13,10
Manuel Rodriguez Patriotic Front (FPMR),1984,1997,1,12,0,31,759,93
Idriss Miskine Group,1984,1984,3,3,10,10,1,0
Irian Jaya Rebels,1984,1984,3,3,26,26,1,2
Congolese National Movement- Lumumba (MNCL),1984,1984,3,3,27,27,2,2
Revolutionary Organization of Socialist Muslims,1984,1985,3,11,16,29,5,2
Tripura Nationalists,1984,1984,3,3,30,30,1,0
Nicaraguan  Revolutionary Armed Force,1984,1984,4,4,1,1,1,0
Dishmish Regiment,1984,1984,4,5,2,18,43,6
Internal Front,1984,1984,4,4,4,4,1,0
MLA,1984,1984,4,4,10,10,1,0
Katsuhisa Omori,1984,1984,4,4,22,22,2,0
Individuals claimed to be policemen,1984,1984,4,4,22,22,1,0
Nationalist Patriotic Alliance (APN),1984,1984,4,4,26,26,4,0
"Sympathizers of ""Iranian People's Zeda'i""",1984,1984,4,4,26,26,1,0
Anti-Armenian Organization,1984,1984,5,5,3,3,1,0
International Communist Group,1984,1984,5,5,4,4,2,0
National Front for the Salvation of Libya,1984,1984,5,7,4,8,2,17
Islamic Action Organization,1984,1984,5,5,12,12,1,0
Ricardo Franco Front (Dissident FARC),1984,1988,1,12,1,31,61,61
Scheutzen group,1984,1984,5,5,24,24,1,2
Palestinian-nationalist Lebanese joint movement,1984,1984,5,5,25,25,1,1
Alfaro Vive,1984,1991,1,11,1,31,25,18
Al-Sa'iqa,1984,1988,5,11,6,29,2,1
Alpha-66 (Cuban counterrevolutionary),1984,1984,5,5,30,30,1,1
Tupac Amaru Revolutionary Movement (MRTA),1984,1997,1,12,0,31,512,560
Chilean Anti-Communist Alliance (ACHA),1984,1988,3,10,5,19,6,1
Fedayeen of the Imperial Iranian Monarchy,1984,1984,6,6,5,5,1,0
Free Fatherland,1984,1985,6,12,10,11,2,2
Salvadoran Guerrillas,1984,1986,6,11,4,12,2,18
Al-Sadr Brigades,1984,1984,6,10,10,23,3,0
Gutierrez Gomez Resistance Group,1984,1984,7,7,10,10,2,0
Rajneeshees,1984,1984,7,9,9,29,4,0
Sharp Sword Organization,1984,1984,7,7,20,20,1,0
Costa Rican Peoples' Army (EPC),1984,1984,7,7,26,26,1,0
Communists Fighting Imperialism and Armaments,1984,1984,7,7,27,27,2,0
Anarchio Scene,1984,1984,8,8,0,0,1,0
Kurdistan Workers' Party (PKK),1984,2018,1,12,0,31,2383,5088
M-5,1984,1984,8,8,17,18,2,0
Red Patriots Group,1984,1984,8,8,17,17,1,0
Basque Refugee Support Group,1984,1984,8,8,25,25,1,0
Anti-Socials,1984,1986,9,12,4,26,2,1
Anti-Chon radical elements,1984,1984,9,9,6,6,1,0
Iranian Monarchists,1984,1984,9,9,8,8,1,0
Koetoh Reh,1984,1984,9,9,11,11,1,0
Militant Argentine Patriots,1984,1984,9,9,12,12,1,0
Militants,1984,2011,1,12,0,30,77,146
Martyrs Halim Group,1984,1984,9,9,17,17,1,0
Organization of Mauritanian Nationalists,1984,1984,9,9,20,20,1,1
National Movement of Iranian Resistance,1984,1984,9,9,30,30,1,2
Communist Combattant Cells (CCC) (Belgium),1984,1985,1,12,1,25,21,3
Separatist Clandestine Organization,1984,1984,10,10,13,13,1,1
Gruppe Haw Weg Den Scheiss,1984,1985,1,10,25,31,2,0
Yemenis,1984,2001,1,11,6,17,4,0
September 17 Organization,1984,1984,11,11,16,16,1,0
Independence Advocates,1984,1984,11,11,17,17,1,0
Kanak Separatists,1984,1988,5,11,5,17,4,18
Kanakas,1984,1984,11,11,17,29,2,1
Narco-Terrorists,1984,1996,1,12,1,31,362,492
Kanak Socialist National Liberation Front,1984,1988,4,11,18,30,5,4
Muslim Separatists,1984,2011,1,12,1,31,163,180
November 21 Organization,1984,1984,11,11,22,23,5,0
Tamil Eelam Liberation Organization (TELO),1984,1989,1,12,3,30,8,38
Black September II,1984,1988,3,12,3,29,9,4
National Socialist Council of Nagaland,1984,1999,2,12,3,29,17,146
Yazbik Revolutionary Organization,1984,1984,12,12,12,12,1,2
Animal Liberation Front (ALF),1984,2016,1,12,0,31,117,0
National Committee Against Independence (CNCI),1984,1988,5,12,3,31,2,0
Relatives of terrorist,1985,1985,1,1,3,3,1,0
National Republican Alliance Party,1985,1985,1,1,6,6,1,6
Palestinian/Lebanese nationalists,1985,1985,1,1,16,16,1,0
National Front (Greece),1985,1985,2,2,2,2,1,0
Northern Terror Front,1985,1986,1,2,3,29,3,0
Black Brigade,1985,1985,2,8,7,19,3,33
Worker's Brigade,1985,1985,2,2,8,8,1,0
FACDM,1985,1985,2,2,8,8,1,0
Angels,1985,1985,2,2,14,14,1,30
Carribbean Revolutionary Independence Army,1985,1985,2,2,23,23,1,0
Emilio Recabarren Commando,1985,1985,3,3,4,4,1,0
Miners,1985,1997,3,5,5,6,2,0
New caledonian independence supporters,1985,1985,3,3,8,8,1,0
Armenian Revolutionary Army,1985,1985,3,3,12,12,1,1
Los Barriales,1985,1985,3,3,13,13,1,0
Vengence Party,1985,1985,3,3,14,14,1,1
Ahmad Alawi al Muqbili,1985,1985,3,3,18,18,1,0
Valais Group Against Hydro-Rhone,1985,1985,3,3,19,19,1,0
Pan-Turkish Organization,1985,1985,3,3,26,26,1,0
Arab Unionist Nationalist Organization,1985,1985,4,4,2,2,1,1
Quintin Lame,1985,1989,1,12,2,28,11,41
Action Struggle Against the World,1985,1985,4,4,8,8,1,0
Proletarian Revolutionary Action Front (FRAP),1985,1985,4,4,20,21,2,0
Black extremists,1985,1995,3,7,10,27,3,5
Fighting Ecologist Movement,1985,1985,5,5,7,7,1,0
Uganda People's Army,1985,1990,1,9,5,29,15,136
People's Liberation Front of Niger,1985,1985,5,5,29,29,1,3
Martyrs of Tell Al-Zaltar,1985,1985,6,6,2,2,1,0
Islamic Mujahidin,1985,1992,5,6,2,6,3,2
Khalid ibn Walid,1985,1985,6,6,14,14,1,23
Miskito Indian Organization,1985,1994,2,7,2,22,4,13
United Liberation Torchbearers Forces,1985,1985,6,6,20,20,5,6
Anti-Muslim extremists,1985,2018,1,12,1,30,86,6
United Democratic Front (UDF),1985,1986,6,12,2,27,2,6
Angolan Defense Force,1985,1985,6,6,29,29,1,62
Poor People's Party,1985,1990,6,7,1,18,2,0
The Ordinary Men,1985,1985,7,7,10,10,1,0
Right-Wing Gunmen,1985,1996,7,8,10,15,2,0
Javier Heraud Revolutionary Commando,1985,1985,7,7,16,16,1,0
People's Revolutionary Command (CRP),1985,1986,3,10,18,26,5,0
Revolutionary Autonomous Group,1985,1985,7,7,27,27,1,0
Broad Front,1985,1985,8,8,19,19,1,0
Islamic Unification Movement,1985,2013,8,8,20,23,3,68
Revolutionary Christians of the Cedars,1985,1985,8,8,20,20,1,44
Egypt's Revolution,1985,1987,3,8,19,27,3,2
Jarnail Khalsa,1985,1985,8,8,20,20,1,2
Arab Socialist Baath Party,1985,1985,9,9,4,4,1,1
7 April Libyan Organization,1985,1985,10,10,7,7,3,0
National Revolution,1985,1985,10,10,8,8,1,0
Wild Geese of the Cities,1985,1985,10,10,16,16,1,0
Saffron Tigers,1985,1985,10,10,21,21,1,2
Revolutionary Militant Left organization,1985,1985,10,10,31,31,1,0
Crazy Brabant Killers,1985,1985,11,11,9,9,1,7
Proletarian Initiative and Offensive for W. Europe,1985,1985,11,11,10,10,1,0
Red Revolutionary Front,1985,1986,6,12,24,27,2,0
Christian Palestinian group,1985,1985,12,12,29,29,1,0
Anti-Apartheid guerrillas,1986,1986,1,1,18,18,1,0
Simon Bolivar Guerrilla Coordinating Board (CGSB),1986,2003,1,12,1,31,195,391
Revolutionary Eelam Organization (EROS),1986,1988,1,4,18,20,2,1
Kisar Liberation Movement,1986,1986,1,1,29,29,1,0
Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA),1986,1986,2,10,3,26,10,4
Moslem opponents of Gemayel,1986,1986,2,2,3,3,1,9
Marxist Peoples Fedayeen of Iran,1986,1986,2,2,8,8,1,0
America Battalion,1986,1988,2,9,4,24,6,83
Red Brigades Fighting Communist Union (BR-UCC),1986,2002,2,3,19,21,3,2
Black Flag (Bandera Negra),1986,1987,2,9,17,23,2,17
Union of Galilee Christians,1986,1986,2,2,28,28,1,0
"Up the IRS, Inc",1986,1991,2,9,2,31,7,0
Palestinian Forces,1986,1986,3,3,4,4,1,0
New Ugandan Army,1986,1986,3,3,4,4,1,1
The Order II (Bruder Schweigen Strike Force II),1986,1986,3,9,6,16,3,0
Eelam People's Revolutionary Liberation Front (EPRLF),1986,1989,3,11,11,31,7,60
Vietnamese Refugees,1986,1989,3,8,18,24,2,0
National Revolutionary Command (Umar al-Mukhtar),1986,1986,3,3,29,29,3,0
Islamic Liberation Organization,1986,1986,4,4,1,1,1,0
Arab Revolutionary Cells,1986,1986,4,9,2,12,3,4
Anti-American Arab Liberation Front,1986,1986,4,4,5,5,1,3
Tribal Separatists,1986,1997,4,8,5,14,2,7
Kisan Indian Organization,1986,1986,4,9,4,16,4,8
Patria y Libertad (Fatherland and Liberty),1986,1986,4,4,16,16,1,0
Armed Communist Front,1986,1986,4,4,16,16,1,0
Arab Commando Cells,1986,1986,4,4,17,17,1,3
German Speaking Separatists,1986,1986,4,4,18,18,1,0
Commando Internacionalista Simon Bolivar,1986,1986,4,4,25,25,1,0
Arab Revolutionary Front,1986,1986,4,4,26,26,1,0
Anti-Imperialist International Brigades,1986,1987,5,6,9,14,4,0
Bangladesh Sarbahara Party,1986,2001,2,12,2,23,6,47
A Resistance Group,1986,1986,5,5,20,20,1,0
Montoneros Patria Libre,1986,1989,5,10,8,20,4,0
Sudan People's Liberation Army (SPLA),1986,2011,1,11,0,30,44,218
Salah al-Din Squad,1986,1986,6,6,9,9,1,0
Al-Marabitun Revolutionary Committee,1986,1986,6,6,10,10,1,0
Commandos of France,1986,1986,6,6,12,12,3,0
United Arab Revolution,1986,1986,6,6,17,17,1,0
Independent Nasserite Movement,1986,1986,6,6,18,18,1,0
Feliciano Argueta Front,1986,1986,6,6,18,18,1,0
Japan Socialist Youth League of the Revolutionary Workers' Association,1986,1986,6,6,19,19,1,3
Black War,1986,1988,2,6,19,22,2,0
Palestinian Revolution Forces,1986,1986,6,7,24,26,3,0
Fatah Uprising,1986,1990,1,6,4,30,6,0
United Nicaraguan Opposition,1986,1986,7,7,4,4,1,8
Brunswijk Jungle Commando,1986,1992,1,12,1,31,41,20
United Nasirite Organizaiton,1986,1986,8,8,4,4,1,0
Revolutionary Liberation Cells,1986,1986,8,8,8,8,1,25
Schiedam Youth Front,1986,1986,8,8,10,10,1,0
The Illegal Fisherman of the Night,1986,1986,8,8,11,11,1,0
Drug-Related Terrorists,1986,1995,3,11,7,26,5,13
SYS,1986,1986,8,8,16,19,2,33
S. O. S. France,1986,1986,8,8,19,19,1,4
Into the Blue Commando of the Revolutionary Cells,1986,1986,8,8,21,21,2,0
Armed Commandos for Liberation,1986,1986,9,9,1,1,1,0
Sinhalese Extremists,1986,1986,9,9,4,4,1,0
Moro Islamic Liberation Front (MILF),1986,2018,1,12,0,31,356,749
September 11 Commandos,1986,1990,9,9,4,7,3,4
Supporters of Right and Freedom,1986,1986,9,9,12,12,1,0
Down with Lubbers,1986,1986,9,9,16,16,2,0
El Movimiento Revolucionario Independinista,1986,1986,9,9,18,18,1,0
Aryan Nation,1986,1999,4,9,10,29,6,0
Karamyit Singh,1986,1986,10,10,2,2,1,2
Maoist Communist Center (MCC),1986,2009,1,12,1,23,35,226
Supreme Islamic Council,1986,1986,10,10,7,7,1,1
Brazilian Democratic Mobilization Party (PMBD),1986,1986,10,10,13,13,1,0
Groups Seeking Independence,1986,1986,10,10,17,17,1,0
Gang separatists terrorists,1986,1986,10,10,20,20,1,0
Peruvian Rebels,1986,1986,10,10,22,22,1,2
Liberation Commando Rudolf Hess,1986,1986,10,10,24,24,1,0
Alexander Villalon (YADO),1986,1986,10,10,29,29,1,0
Angola Rebels,1986,2001,3,10,12,30,2,43
Youths of Ali Movement,1986,1986,11,11,5,5,2,1
Sea Shepherd Conservation Society,1986,1986,11,11,11,11,1,0
The Call of Jesus Christ,1986,1986,11,11,13,13,1,0
Suicide Squad,1986,1986,11,11,14,14,3,0
Black Panther Group (Palestinian),1986,1995,3,12,13,31,17,16
Poverty Brigade,1986,1986,11,11,20,20,1,0
Greek Bulgarian Armenian Front,1986,1986,11,11,23,23,1,1
Khalistan Liberation Force,1986,2018,1,12,1,31,26,134
Pro-Libyan,1986,1986,12,12,3,3,1,1
Arab Struggle,1986,1986,12,12,5,5,1,3
Lebanese Liberation Front,1986,1988,3,12,5,29,7,7
Irish People's Liberation Organization (IPLO),1986,1992,1,12,1,27,21,16
Mustafa Aktas Fighting Unit,1986,1986,12,12,23,23,1,0
Shanti Bahini - Peace Force,1986,1997,1,12,1,31,98,439
Iranian dissident group,1986,1986,12,12,29,29,1,1
Lebanese Terrorist Group,1986,1986,12,12,31,31,1,0
Beirut Martyrs Forces Organization,1987,1987,1,1,2,5,2,0
Condor Plan Criminals,1987,1987,1,1,9,9,1,2
Khalistan Commando Force,1987,1995,1,9,1,30,20,118
Animal Rights extremists,1987,2018,1,12,5,31,22,1
Somali National Movement,1987,1991,1,10,0,28,7,31
Islamic Holy Star,1987,1987,1,1,24,24,1,0
Colombian Guerrillas,1987,1997,1,12,8,29,14,8
Pro-Kabul Provocateurs,1987,1987,2,2,1,1,3,0
Free Galician People's Guerrilla Army,1987,1990,2,11,1,30,47,4
Filipino Communists,1987,1987,2,2,7,7,1,5
Patriotic Union of Kurdistan (PUK),1987,1997,2,11,7,27,5,128
Scooter Borne terrorists,1987,1987,3,3,3,3,2,6
Islamist extremists,1987,2011,1,12,1,31,192,1158
Census Opponents,1987,1987,3,3,10,10,1,0
Antonio,1987,1987,3,3,13,13,1,2
Inkatha Freedom Party (IFP),1987,1996,2,12,1,31,50,345
Extremist Nat'list Group,1987,1987,3,3,18,18,1,10
Active Espirit de Corps of the Argentina Army,1987,1987,3,3,21,21,1,0
Liberation Hawks,1987,1987,3,3,29,29,1,1
Nicaraguan Resistance,1987,1990,1,12,1,30,231,588
Brother Julian,1987,1987,4,4,15,15,1,0
Jihad Brigades,1987,1987,4,4,27,27,1,0
Japanese Independence Patriotic Party,1987,1987,5,5,6,6,1,1
Alejo Calatayu,1987,1990,1,5,1,11,2,0
South African guerrillas,1987,1987,5,5,12,12,1,1
Abu Musa Group,1987,1987,5,5,15,15,1,0
Guerrilla Forces for Liberation,1987,1987,5,5,25,25,7,0
Afghan Mujahideen,1987,1992,4,7,22,31,7,12
Lebanese Secret Army,1987,1987,6,6,1,1,1,1
Comuneros,1987,1987,6,6,2,2,1,0
Kurds,1987,1995,3,11,1,31,15,49
Red Army for the Liberation of Catalonia,1987,1987,6,12,16,26,2,1
Gurkha National Liberation Front (GNLF),1987,1989,1,12,1,29,59,43
Militant Cells,1987,1987,6,6,23,23,1,0
Kurdish Separatists,1987,2006,3,12,2,27,11,9
Muslim Fundamentalists,1987,2007,1,12,0,30,88,129
Guardians of the Islamic Revolution,1987,1987,7,10,2,18,2,2
Maximiliano Gomez Revolutionary Brigade,1987,1988,4,7,6,28,14,7
Jacques de Molay Group,1987,1987,8,8,8,8,1,0
Freedom Party,1987,1989,8,11,5,30,3,4
People's Liberation Front (JVP),1987,1990,1,12,1,31,433,859
Arab Democratic Party,1987,1987,9,9,8,8,4,0
Turkish Marxist Workers Party,1987,1987,9,9,11,11,1,0
Kurdistan National Union,1987,1987,9,10,2,15,2,0
Latin American Anti-Fascist Command,1987,1987,9,9,24,24,3,0
National Anti Communist Commando,1987,1987,9,11,24,25,2,2
Evan Mecham Eco-Terrorist International Conspiracy (EMETIC),1987,1989,5,11,5,30,5,0
Syrian Mujahideen,1987,2013,6,10,7,16,2,5
Insurgency Commune,1987,1987,10,10,19,19,1,1
Tanyus Shanin Armed Unit,1987,1987,10,10,29,29,1,2
Autonomen,1987,1991,10,11,2,26,2,2
Liberation Battalion,1987,1987,11,11,17,17,1,1
Nuclear Liberation Front,1987,1987,11,11,28,28,1,0
Ecuadorian Communist Youth,1987,1987,12,12,2,2,1,0
Anti-Authority Group (Greece),1987,1997,2,12,1,31,13,0
Uganda Federal Army,1988,1988,1,1,11,11,1,1
Pedro Albizu Campos Revolutionary Forces,1988,1990,1,11,1,17,7,0
Death to Drug Traffickers,1988,1988,1,1,13,13,1,2
Mormon Extremist,1988,1988,1,1,16,16,1,0
The Extraditables,1988,1999,1,12,2,31,109,181
Revolutionary Armed Organization,1988,1988,1,1,25,25,3,0
9-Feb,1988,1989,1,10,1,31,21,11
Kachin Independence Army (KIA),1988,2017,1,12,2,28,44,79
Kach,1988,2005,2,11,4,29,12,11
Sudanese People's Liberation Forces,1988,1989,2,4,16,21,5,32
Holy Spirit Movement,1988,1990,2,5,1,29,7,80
Meibion Glyndwr,1988,1990,2,11,1,30,31,0
OAS-MRP,1988,1988,3,4,2,29,6,0
National Socialist Civic Workers Movement,1988,1988,3,3,4,28,2,21
Sinhalese Insurgents,1988,1988,3,3,11,11,1,22
Hotaru (Firefly),1988,1988,3,3,21,21,1,0
Organization of Arab Fedayeen Cells,1988,1988,3,3,25,25,1,0
Afghan Rebels,1988,1988,3,10,5,27,2,27
Kurdish Independence Group (name unk),1988,1988,3,3,28,28,1,0
Jorge Eliecer Gaitan Nationalist Movement,1988,1989,4,7,10,11,2,0
Mano Blanca,1988,1988,4,5,1,18,3,0
Mozambique Liberation Front (FRELIMO),1988,2016,1,9,3,26,5,54
Iranian Militants,1988,1988,4,4,27,27,1,0
22-May-48,1988,1988,4,4,28,28,1,0
Internationalist Cells,1988,1988,4,4,30,30,3,0
Anti-Communist Vigilante Patrol,1988,1988,5,5,4,4,1,1
Sudtiroler Volkspartei-south tyrol people's party,1988,1988,5,5,17,17,4,0
Soldiers of Truth,1988,1989,1,12,4,30,7,5
Organization Alliance of Cuban Intransigence,1988,1988,5,5,26,26,1,0
Burma Communist Party,1988,1989,2,5,17,29,2,18
Black Hand (Colombia),1988,1991,2,11,8,23,6,32
Rodrigo Franco Command,1988,1991,1,12,1,30,15,10
United Liberation Front of Assam (ULFA),1988,2018,1,12,1,31,365,627
Vigilante Group,1988,1990,1,12,1,23,27,250
People's Liberation Organization of Tamil Eelam,1988,1999,5,12,3,15,5,34
Right Wing Vigilantes,1988,1990,7,10,2,19,4,11
Black Friday,1988,1988,7,7,21,21,1,0
Zapatista National Liberation Army,1988,2010,1,11,1,29,24,81
Hizb-I-Islami,1988,2016,1,12,1,30,42,81
Zarate Willka Armed Forces of Liberation,1988,1990,1,12,9,24,5,2
Sekihotai,1988,1990,5,8,10,17,2,0
Keshet,1988,1989,1,8,1,11,7,0
Ein Tyrol (One Tyrol),1988,1988,8,10,4,30,5,0
Animal Defense League,1988,1988,8,8,17,17,1,0
Congolese Liberation Party (PLC),1988,1988,8,8,25,25,1,28
Beirut Martyrs Battalion,1988,1989,1,9,2,28,7,2
Jewish Defense Organization,1988,1988,9,9,7,7,1,0
Lebanese Man,1988,1988,9,9,14,14,1,0
Al-Faruo Battalion,1988,1988,10,10,10,18,4,0
White Wolves,1988,1992,3,11,2,27,11,7
Patriotic Morazanista Front (FPM),1988,1995,2,12,2,25,26,10
Manuel Jose Arce Commando,1988,1988,10,10,19,20,6,1
Anti-Capitalist Commando,1988,1988,10,10,20,20,1,0
Babbar Khalsa International (BKI),1988,2017,1,11,1,31,12,88
Anya-Nya II Militia,1988,1988,11,11,10,10,1,0
Afrikaner Resistance Movement (AWB),1988,1996,3,12,9,28,6,10
Bhinderanwale Tiger Force of Khalistan (BTHK),1988,2018,2,12,2,30,10,50
Socialist-Nationalist Front (SNF),1988,1988,11,11,18,18,1,0
Mon Guerrillas,1988,1994,3,11,18,29,4,78
Shaykh Subhi Al-Salih Forces,1988,1989,1,12,4,28,18,4
Social Resistance,1988,1990,2,12,5,27,9,0
Workers' Revolutionary Party,1988,1988,12,12,6,6,1,1
Liberation Front of the Senegalese People,1988,1988,12,12,8,8,1,0
Anti-Capitalist Brigades,1988,1988,12,12,13,13,1,1
National Movement Against the Mahgreb Invasion,1988,1988,12,12,19,19,1,1
Black Liberation Front,1988,1988,12,12,19,19,3,0
Movement of Democratic Forces of Casamance,1988,2018,1,12,1,31,78,231
Revolutionary Front for an Independent East Timor (FRETILIN),1989,1997,1,10,1,30,11,112
Tripoli Martyrs Battalion,1989,1989,1,1,9,9,2,0
Ugandan Rebels,1989,1989,1,6,14,26,4,21
Socialist Revolutionary Brigade,1989,1989,1,1,14,14,1,0
Death to Bazuqueros,1989,1990,1,7,7,15,6,0
16 January Organization for the Liberation of Tripoli,1989,1989,1,12,1,29,24,1
1-May,1989,1992,1,11,1,23,10,2
Popular Resistance Front (FPR),1989,1989,1,1,23,23,1,25
Earth First!,1989,1994,1,7,27,31,3,0
Anti-Communist Action Alliance,1989,1989,1,1,31,31,1,0
People's War Group (PWG),1989,2004,1,12,1,31,97,410
Anti-Imperialist Patriotic Union,1989,1989,2,2,3,3,1,1
National Liberation Army (Peru),1989,1990,2,3,6,23,2,6
Bodo Militants,1989,1997,2,12,1,31,87,376
Revolutionary United Front Movement,1989,1989,2,2,18,18,1,0
United Revolutionary Front,1989,2015,1,12,7,25,8,5
Mandela Soccer Club,1989,1989,2,2,23,23,1,1
Forces of the Free Arab,1989,1989,2,2,23,23,1,0
Shan State Army - North (SSA-N),1989,2015,2,10,21,23,2,2
Muhammed Shuqayr Group,1989,1989,3,3,1,1,1,0
Workers' Forces of Liberation,1989,1989,3,3,2,2,1,0
Eritrean Peoples Liberation Front,1989,1990,2,9,3,12,4,2
Kachin Insurgents,1989,1990,3,9,4,9,2,36
Martyr Ahmad Alishuay B Group,1989,1989,3,3,16,16,1,0
Revolutionary Movement,1989,1989,3,3,17,17,1,0
Sicarii,1989,1989,3,11,11,24,4,1
Kampuchean Peoples National Liberation Army,1989,1989,3,3,25,25,1,3
Organization of Metropolitan Proletariat and Oppressed Peoples,1989,1989,4,4,15,15,1,0
Popular Liberation Resistance Force,1989,1989,5,5,9,11,6,0
Armed Struggle Cells,1989,1989,5,5,12,12,1,0
Mwakenya Dissident Movement,1989,1989,5,11,4,14,2,4
Ugandan People's Democratic Army,1989,1989,5,5,31,31,1,28
Arabian Peninsula Freemen,1989,1989,6,6,20,20,1,1
National Revolutionary Front,1989,1989,6,6,21,21,1,2
Father of the Poor,1989,1989,6,6,21,21,1,0
